eval_id,sample_id,model_name,condition,severity,exact_match,token_f1,semantic_similarity,llm_judge_correct,abstained,hallucinated,prediction,gold_answer
eval_Qwen_Qwen2.5-7B-Instruct_000000,seed_000000,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,29 March 1964,29 March 1964
eval_Qwen_Qwen2.5-7B-Instruct_000001,seed_000001,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"January 8, 2013","January 8, 2013"
eval_Qwen_Qwen2.5-7B-Instruct_000002,seed_000002,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.8,0.7096774193548387,True,False,False,"Addis Ababa, Ethiopia",Addis Ababa
eval_Qwen_Qwen2.5-7B-Instruct_000003,seed_000003,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,December 2020,December 2020
eval_Qwen_Qwen2.5-7B-Instruct_000004,seed_000004,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"July 30, 1938","July 30, 1938"
eval_Qwen_Qwen2.5-7B-Instruct_000005,seed_000005,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.0,0.0,,True,False,,1872
eval_Qwen_Qwen2.5-7B-Instruct_000006,seed_000006,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,15 June 1947,15 June 1947
eval_Qwen_Qwen2.5-7B-Instruct_000007,seed_000007,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"December 1, 1942","December 1, 1942"
eval_Qwen_Qwen2.5-7B-Instruct_000008,seed_000008,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,21 October 1958,21 October 1958
eval_Qwen_Qwen2.5-7B-Instruct_000009,seed_000009,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"October 23, 2024","October 23, 2024"
eval_Qwen_Qwen2.5-7B-Instruct_000010,seed_000010,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"Queens, New York City","Queens, New York City"
eval_Qwen_Qwen2.5-7B-Instruct_000011,seed_000011,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"April 24, 1984","April 24, 1984"
eval_Qwen_Qwen2.5-7B-Instruct_000012,seed_000012,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,13 April 1940,13 April 1940
eval_Qwen_Qwen2.5-7B-Instruct_000013,seed_000013,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.0,0.0,,True,False,,Yale
eval_Qwen_Qwen2.5-7B-Instruct_000014,seed_000014,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Bernheim,Bernheim
eval_Qwen_Qwen2.5-7B-Instruct_000015,seed_000015,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,MIT,MIT
eval_Qwen_Qwen2.5-7B-Instruct_000016,seed_000016,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"May 7, 2011","May 7, 2011"
eval_Qwen_Qwen2.5-7B-Instruct_000017,seed_000017,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,1951,1951
eval_Qwen_Qwen2.5-7B-Instruct_000018,seed_000018,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,8 April 2024,8 April 2024
eval_Qwen_Qwen2.5-7B-Instruct_000019,seed_000019,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.9375,0.9406392694063926,True,False,False,University of Uppsala and the Nobel Institute for Physics (later renamed the Manne Siegbahn Institute of Physics) in Stockholm.,University of Uppsala and the Nobel Institute for Physics (later renamed the Manne Siegbahn Institute of Physics)
eval_Qwen_Qwen2.5-7B-Instruct_000020,seed_000020,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Charles Lyell,Charles Lyell
eval_Qwen_Qwen2.5-7B-Instruct_000021,seed_000021,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,President Grover Cleveland,President Grover Cleveland
eval_Qwen_Qwen2.5-7B-Instruct_000022,seed_000022,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Canada,Canada
eval_Qwen_Qwen2.5-7B-Instruct_000023,seed_000023,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.0,0.0,,True,False,,Sunda Kelapa
eval_Qwen_Qwen2.5-7B-Instruct_000024,seed_000024,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.888888888888889,0.8717948717948718,False,False,False,1535 Laws in Wales Act,Laws in Wales Act
eval_Qwen_Qwen2.5-7B-Instruct_000025,seed_000025,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Abuja,Abuja
eval_Qwen_Qwen2.5-7B-Instruct_000026,seed_000026,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.0,0.2608695652173913,,True,False,I don't know.,11th century
eval_Qwen_Qwen2.5-7B-Instruct_000027,seed_000027,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Ofu,Ofu
eval_Qwen_Qwen2.5-7B-Instruct_000028,seed_000028,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,1999,1999
eval_Qwen_Qwen2.5-7B-Instruct_000029,seed_000029,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Aachen,Aachen
eval_Qwen_Qwen2.5-7B-Instruct_000030,seed_000030,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,"May 11, 1910","May 11, 1910"
eval_Qwen_Qwen2.5-7B-Instruct_000031,seed_000031,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,2009,2009
eval_Qwen_Qwen2.5-7B-Instruct_000032,seed_000032,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.8571428571428571,0.9259259259259259,True,False,False,Federal Capital Territory (FCT),Federal Capital Territory
eval_Qwen_Qwen2.5-7B-Instruct_000033,seed_000033,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.18181818181818182,0.14285714285714285,False,False,False,"8,000 out of 18,000 total officials still work in Bonn.","8,000"
eval_Qwen_Qwen2.5-7B-Instruct_000034,seed_000034,Qwen/Qwen2.5-7B-Instruct,clean,,0.0,0.0,0.0,,True,False,,Jackson Lake
eval_Qwen_Qwen2.5-7B-Instruct_000035,seed_000035,Qwen/Qwen2.5-7B-Instruct,clean,,1.0,1.0,1.0,True,False,False,Mauna Loa,Mauna Loa
