failure_id,parent_seed_id,failure_type,severity,operator,stage,difficulty,question,gold_answer,supporting_sentence,answer_available,expected_behavior,num_contexts,contexts,category_group,page_title,chunk_id,injection_valid_auto,gold_answer_leaked_auto,human_injection_valid,human_label_correct,severity_ok,issue_code,notes
seed_000000__chunk_boundary__high,seed_000000,chunk_boundary,high,chunk_boundary,chunking,0.75,When did Lewis Rasmus Heim die?,29 March 1964,"""Lewis Rasmus Heim (19 September 1874 – 29 March 1964) was an American machinist and businessman who was the inventor of the Centerless Cylindrical Grinder, the Heim Joint Rod End Bearing and a pioneer of modern spherical, ball and roller bearings.""",True,answer,5,"Lewis Rasmus Heim (19 September 1874 – 29 March 1964) was an American machinist and businessman who was the inventor of the Centerless Cylindrical Grinder, the Heim Joint Rod End Bearing and a pioneer of modern spherical, ball and roller bearings. Heim was a self-taught machinist with an ability to visualize complex mechanisms and mechanical processes that resulted in the creation of novel machines, machine tools, manufacturing methods and mechanical bearings and was granted 92 patents over his lifetime. His inventions ranged from machines to manufacture hats and automate the ironing of fold collars to precision grinders and industrial bearings used in automobiles, aircraft and machinery. ""Lewis Rasmus Heim (19 September 1874 – 29 March 1964) was an American machinist and businessman who was the inventor

---

And I said [in response to his desire for composition lessons], a long time you are started [sic] to compose? And he said, oh, I compose all my life. Also, show me please and he showed me [his music] and it was a very, very idiotic music, and I said [to myself] what can I do? I must be polite and I cannot say ""idiotic"" to him. But you know, it was very, very embarrassing and finally I said, good, you call it symphony. Bring me this symphony [Futurama] and we will compose it together ... And we composed together and it means I composed it—with his themes. And some years later he died. And his son-in-law [Sample] or his daughter, his daughter [Ernestine] which [sic] I know—very nice people—they said we treasure this thing because it is your composition. Stravinsky's claims of having largely authored the Futurama Symphony are refuted by the extant manuscript score and Andersson's notebook, both of which confirm that he only assisted in its revision.

---

of the Centerless Cylindrical Grinder, the Heim Joint Rod End

---

During the Second World War, Chadwick carried out research as part of the Tube Alloys project to build an atom bomb, while his Manchester lab and environs were harassed by Luftwaffe bombing. When the Quebec Agreement merged his project with the American Manhattan Project, he became part of the British Mission, and worked at the Los Alamos Laboratory and in Washington, D.C. He surprised everyone by earning the almost-complete trust of project director Leslie R. Groves, Jr. For his efforts, Chadwick received a knighthood in the New Year Honours on 1 January 1945. In July 1945, he viewed the Trinity nuclear test. After this, he served as the British scientific advisor to the United Nations Atomic Energy Commission. Uncomfortable with the trend toward Big Science, he returned to Cambridge where he became Master of Gonville and Caius College in 1948. In Germany, Otto Hahn and Fritz Strassmann bombarded uranium with neutrons, and noted that barium, a lighter element, was among the products produced. Hitherto, only the same or heavier elements had been produced by the process. In January 1939, Meitner and her nephew Otto Frisch astounded the physics community with a paper that explained this result. They theorised that uranium atoms bombarded with neutrons can break into two roughly equal fragments, a process they called fission.

---

Bearing and a pioneer of modern spherical, ball and roller bearings.""",person,Lewis Heim,61144894_1358699869_0_0,True,False,yes,yes,no,too_easy,full supporting sentence sits intact in a single chunk - chunk-boundary stress not actually exercised
seed_000007__chunk_boundary__high,seed_000007,chunk_boundary,high,chunk_boundary,chunking,0.75,When was John Francis Clauser born?,"December 1, 1942","John Francis Clauser (; born December 1, 1942) is an American theoretical and experimental physicist known for contributions to the foundations of quantum mechanics, in particular the Clauser–Horne–Shimony–Holt inequality.",True,answer,5,"John Francis Clauser (; born December 1, 1942) is an American theoretical and experimental

---

Kaczorowska, Teresa (2011). Córka mazowieckich równin, czyli, Maria Skłodowska-Curie z Mazowsza [Daughter of the Mazovian Plains: Maria Skłodowska–Curie of Mazowsze] (in Polish). Związek Literatów Polskich, Oddział w Ciechanowie. ISBN 978-83-89408-36-5. Retrieved 15 March 2016. Moskowitz, Clara (February 2025). ""Marie Curie's Hidden Network: How she recruited a generation of women scientists"". Scientific American. Vol. 332, no. 2. pp. 78–79. doi:10.1038/scientificamerican022025-3K76AqOE4WSO46n3VMzSTu. Opfell, Olga S. (1978). The Lady Laureates : Women Who Have Won the Nobel Prize. Metuchen, N.J.& London: Scarecrow Press. pp. 147–164. ISBN 978-0-8108-1161-4. Pasachoff, Naomi (1996). Marie Curie and the Science of Radioactivity. Oxford University Press. ISBN 978-0-19-509214-1.

---

physicist known for contributions to the foundations

---

In 1978, Binnig accepted an offer from IBM to join their Zurich research group, where he worked with Heinrich Rohrer, Christoph Gerber and Edmund Weibel. There they developed the scanning tunneling microscope (STM), an instrument for imaging surfaces at the atomic level. The Nobel committee described the effect that the invention of the STM had on science, saying that ""entirely new fields are opening up for the study of the structure of matter."" The physical principles on which the STM was based were already known before the IBM team developed the STM, but Binnig and his colleagues were the first to solve the significant experimental challenges involved in putting it into effect. The IBM Zurich team were soon recognized with a number of prizes: the German Physics Prize, the Otto Klung Prize, the Hewlett Packard Prize and the King Faisal Prize. In 1986, Binnig and Rohrer shared half of the Nobel Prize in Physics, the other half of the Prize was awarded to Ernst Ruska. From 1985 to 1988, he worked in California. He was at IBM in Almaden Valley, and was visiting professor at Stanford University. In 1985, Binnig invented the atomic force microscope (AFM) and Binnig, Christoph Gerber and Calvin Quate went on to develop a working version of this new microscope for insulating surfaces.

---

of quantum mechanics, in particular the Clauser–Horne–Shimony–Holt inequality. Clauser was awarded the 2022 Nobel Prize in Physics, jointly with Alain Aspect and Anton Zeilinger ""for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science"". In 2023, he declared himself as a climate change denier.",person,John Clauser,27567717_1351364826_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000010__chunk_boundary__high,seed_000010,chunk_boundary,high,chunk_boundary,chunking,0.75,Where was Joshua Lionel Cohen born?,"Queens, New York City","Joshua Lionel Cohen was born in Queens, New York City on August 25, 1877 to Hyman Nathan Cohen and his wife Rebecca (née Kantrowitz) Cohen; he had eight siblings.",True,answer,5,"Joshua Lionel Cohen was born in Queens, New York City on August 25, 1877

---

Gross' first wife was Shulamith (Toaff), and they had two children. He also has a stepdaughter by his second wife, Jacquelyn Savani. He has three brothers, including Larry Gross, professor of communication, Samuel R. Gross, professor of law, and Theodore (Teddy) Gross, a playwright.

---

to Hyman Nathan Cohen and his wife

---

In late 2013, a team led by the Irish physicist Cormac O'Raifeartaigh discovered evidence that, shortly after learning of Hubble's observations of the recession of the galaxies, Einstein considered a steady-state model of the universe. In a hitherto overlooked manuscript, apparently written in early 1931, Einstein explored a model of the expanding universe in which the density of matter remains constant due to a continuous creation of matter, a process that he associated with the cosmological constant. As he stated in the paper, ""In what follows, I would like to draw attention to a solution to equation (1) that can account for Hubbel's [sic] facts, and in which the density is constant over time [...] If one considers a physically bounded volume, particles of matter will be continually leaving it. For the density to remain constant, new particles of matter must be continually formed in the volume from space."" It thus appears that Einstein considered a steady-state model of the expanding universe many years before Hoyle, Bondi and Gold. However, Einstein's steady-state model contained a fundamental flaw and he quickly abandoned the idea.

---

Rebecca (née Kantrowitz) Cohen; he had eight siblings. His parents were Jewish immigrants from Germany. Cohen had built his first toy train at age seven, attaching a small steam engine to a wooden locomotive he had carved. The engine exploded, damaging his parents' kitchen. He studied at Columbia University and the City College of New York.",person,Joshua Lionel Cowen,399047_1343193859_1_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000011__chunk_boundary__high,seed_000011,chunk_boundary,high,chunk_boundary,chunking,0.75,When was Stephen Louis 'Steve' Brusatte born?,"April 24, 1984","Stephen Louis ""Steve"" Brusatte FRSE (born April 24, 1984) is an American evolutionary biologist and science popularizer who specializes in the anatomy and evolution of dinosaurs.",True,answer,5,"Stephen Louis ""Steve"" Brusatte FRSE (born April 24, 1984) is an American evolutionary

---

In February 1933, while on a visit to the United States, Einstein knew he could not return to Germany with the rise to power of the Nazis under Germany's new chancellor, Adolf Hitler.
While at American universities in early 1933, he undertook his third two-month visiting professorship at the California Institute of Technology in Pasadena. In February and March 1933, the Gestapo repeatedly raided his family's apartment in Berlin. He and his wife Elsa returned to Europe in March, and during the trip, they learned that the German Reichstag had passed the Enabling Act on 23 March, transforming Hitler's government into a de facto legal dictatorship, and that they would not be able to proceed to Berlin. Later on, they heard that their cottage had been raided by the Nazis and Einstein's personal sailboat confiscated. Upon landing in Antwerp, Belgium on 28 March, Einstein immediately went to the German consulate and surrendered his passport, formally renouncing his German citizenship. The renunciation was at first refused, but the Nazi government finally revoked his citizenship on 24 March 1934. The Nazis later sold his boat and converted his cottage into a Hitler Youth camp.

---

biologist and science popularizer who specializes

---

50 (3): 2370–2383. doi:10.1111/ejn.14313. PMID 30575160.. Hu, Y; Salmeron, BJ; Krasnova, IN; Gu, H; Lu, H; Bonci, A; Cadet, JL; Stein, EA Yang Y (Dec 2018). ""Compulsive Drug Use is Associated with Imbalance of Orbitofrontal- and Prelimbic- Striatal Circuits in Punishment-Resistant Individuals"". PNAS. 115 (49): E11532–E11541. Xin, W; Mironova, YA; Shen, H; Marino, RAM; Waisman, A; Lamers, WH; Bergles, DE; Bonci, A (May 2019). ""Oligodendrocytes support neuronal glutamatergic transmission via expression of glutamine synthetase"". Cell Reports. 27 (8): 2262–2271. doi:10.1016/j.celrep.2019.04.094. PMC 6544175. Cardullo, S; Gomez Perez, LJ; Marconi, L; Terraneo, A; Gallimberti, L; Bonci, A; Madeo, G (May 2019).

---

in the anatomy and evolution of dinosaurs. He was educated at the University of Chicago for his Bachelor's degree, at the University of Bristol for his Master's of Science on a Marshall Scholarship, and finally at the Columbia University for Master's in Philosophy and Doctorate. He is currently Professor of Palaeontology and Evolution at the University of Edinburgh. In April 2024, Brusatte was elected to fellowship of the Royal Society of Edinburgh. In addition to his scientific papers and technical monographs, his book Dinosaurs (2008) and the textbook Dinosaur Paleobiology (2012) earned him accolades. He was the resident palaeontologist and scientific consultant for the BBC Earth and 20th Century Fox's 2013 film Walking With Dinosaurs, which was followed by his book Walking with Dinosaurs Encyclopedia. His book The Rise and Fall of the Dinosaurs: A New History of a Lost World (2018), written for the adult lay person, was a New York Times bestseller. In June 2022, he published The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us. Brusatte has also published several children's books on dinosaurs with his wife since 2022.",person,Stephen L. Brusatte,7124671_1364335584_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000014__chunk_boundary__high,seed_000014,chunk_boundary,high,chunk_boundary,chunking,0.75,What is Alice Jane Brush's last name before marriage?,Bernheim,"Alice Jane Brush (née Bernheim) is an American computer scientist known for her research in human–computer interaction, ubiquitous computing and computer supported collaborative work (CSCW).",True,answer,5,"Alice Jane Brush (née Bernheim) is an American computer scientist known for

---

Carmichael's wife, Anne Darling Cole, was a composer, writer and artist. She was a daughter of the artist Charles Octavius Cole.

---

her research in human–computer interaction, ubiquitous

---

The Gillette paternal ancestors were French Huguenots who sought refuge in England in the late 16th century. One or two generations later, in 1630, Nathan Gillette sailed from England to the newly founded Massachusetts Bay Colony in North America. King Camp Gillette was born on January 5, 1855, in Fond du Lac, Wisconsin, and raised in Chicago, Illinois. His family survived the Great Chicago Fire of 1871. Gillette joined the Baltimore Crown Cork and Seal Company in 1891 and developed a close friendship with the founder, William Painter, inventor of the disposable metal bottle cap (""crown cork""). Painter advised him, ""King, you are always thinking and inventing something. Why don't you try to think of something like the Crown Cork which, when once used, is thrown away, and the customer keeps coming back for more?"" This advice on the value of a disposable product would profoundly influence Gillette's own future success. Men shaved with straight razors that needed whetting every day on a leather strop. As existing, relatively expensive razor blades dulled quickly and needed continual sharpening, a razor whose blade could be thrown away when it dulled would meet a real need and likely be profitable. Safety razors had been developed in the mid-19th century, but still used a forged blade.

---

computing and computer supported collaborative work (CSCW). She is better known for research studying and building technology for homes, and for expertise conducting field studies of technology. She was co-chair of the Committee on Widening Participation in Computing Research (CRA-W) from 2014–2017. She serves as a Senior Member of the ACM.",person,A. J. Brush,43186073_1327185917_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000020__chunk_boundary__high,seed_000020,chunk_boundary,high,chunk_boundary,chunking,0.75,Who is the peak named after?,Charles Lyell,"The peak as well as nearby Lyell Canyon is named after Charles Lyell, a well-known 19th century geologist.",True,answer,5,"Mount Lyell is the highest point in Yosemite National Park, at 13,114 feet (3,997 m). It is located at the southeast end of the Cathedral Range, 1+1⁄4 miles (2 kilometers) northwest of Rodgers Peak. The peak as well as nearby Lyell Canyon is

---

Public transport in the city is generally reliable, when compared with major African cities. Kombis (small vans) and taxis ply the routes within the city, while buses serve surrounding villages and other towns in Botswana.

---

named after Charles Lyell,

---

The bay area has an approximate area of 375 hectares (930 acres) and is located just 2 km (1.2 mi) from the old town. It is one of the most important stopping places during the journey of Nearctic and Southern migratory birds. Asunción Bay has a wide variety of habitats, yet their availability changes throughout the year due to large seasonal fluctuations in the water level of the Paraguay River, which make the depth and extent of bay flooding vary considerably. During the southern winter, when the water is abundantly high, the bay is largely underwater, but towards the end of the season when the water level drops, sandy and clay beaches (tidal marsh) appear. If the waters continue to recede, most of the marshes dry out and become grasslands, some of which remain wet. A total of 258 bird species have been recorded, including 7 globally endangered species and 28 species that nest in North America and migrate to southern South America. More than 3% of the global population of one of them, the cinnamon sandpiper (Tryngites subruficollis), passes through the bay during its migration to the south, turning Asunción Bay into an Important Bird Area (IBA).

---

a well-known 19th century geologist. The peak had one of the last remaining glaciers in Yosemite, Lyell Glacier. The Lyell Glacier is currently considered to be a permanent ice field, not a living glacier. Mount Lyell divides the Tuolumne River watershed to the north, the Merced to the west, and the Rush Creek drainage in the Mono Lake Basin to the southeast.",location,Mount Lyell (California),2177175_1356120607_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000035__chunk_boundary__high,seed_000035,chunk_boundary,high,chunk_boundary,chunking,0.75,What is the name of the largest active volcano by both mass and volume?,Mauna Loa,Mauna Loa is Earth's largest active volcano by both mass and volume.,True,answer,5,"Mauna Loa (, Hawaiian: [ˈmɐwnə ˈlowə]; lit. 'Long Mountain') is one of five volcanoes that form the Island of Hawaii in the U.S. state of Hawaii in the Pacific Ocean. Mauna Loa is Earth's largest active

---

Following a motion in parliament by Alfred Domett, the 4th Premier, three Australian commissioners were tasked with deciding where the capital should move to. The motion asked for the colonial governors of New South Wales, Victoria, and Tasmania to appoint one representative of each of those colonies. The appointees were Joseph Docker, a member of the New South Wales Legislative Council, Francis Murphy, the Speaker of the Victorian Legislative Assembly, and Ronald Campbell Gunn, a former member of the Tasmanian House of Assembly and the Tasmanian Legislative Council. Sir George Grey appointed the commissioners to fulfil the brief ""that the Seat of Government should be placed in a central position, that is to say, somewhere upon the shores of Cook's Straits."" The commissioners inspected Wellington, Picton, Queen Charlotte Sound, the Tory Channel, Blenheim, Pelorus Sound, Havelock and Nelson. Their criteria were the central position in New Zealand that was asked for, access by water, land availability, resources in the surrounding country, defence considerations, and any natural disadvantages. The commissioners reported their findings in a simple two-page letter, where their main finding was summed up in a single sentence without further elaboration:

---

volcano by both

---

Fish living in the park's streams include the Rio Grande cutthroat trout, Rio Grande sucker (Catostomus plebeius), and fathead minnow. Amphibians include the tiger salamander, chorus frog, northern leopard frog, spadefoot toad, Great Plains toad, and Woodhouse's toad. The park harbors several endemic insects including the Great Sand Dunes tiger beetle, a circus beetle (Eleodes hirtipennis), Werner's (Amblyderus werneri) and Triplehorn's (Amblyderus triplehorni) ant-like flower beetle, as well as undescribed species of clown beetle, noctuid moth, and robber fly. More than a thousand different kinds of arthropods have been found at the Great Sand Dunes.

---

mass and volume. It was historically considered to be the largest volcano on Earth until the submarine mountain Tamu Massif was discovered to be larger. Mauna Loa is a shield volcano with relatively gentle slopes, and a volume estimated at 18,000 cubic miles (75,000 km3), although its peak is about 125 feet (38 m) lower than that of its neighbor, Mauna Kea. Lava eruptions from Mauna Loa are silica-poor and very fluid, and tend to be non-explosive. Ancient Hawaiians arrived to the island bringing various changes to the ecosystem. Hunting resulted in the extinction of some bird species, but the Ancient Hawaiians also introduced various plant and animal species, changing the erosion rates of the land. Many religious and traditions beliefs connected the people to the volcanoes. Mauna Loa being the largest of the five volcanoes was admired greatly. While many stories and folklore of Gods and Goddesses like Pele still exist today, it has become less practiced by Native Hawaiians.",location,Mauna Loa,158835_1364956722_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000040__chunk_boundary__high,seed_000040,chunk_boundary,high,chunk_boundary,chunking,0.75,In what year were high-level programming languages introduced?,1958,"The introduction of high-level programming languages in 1958 allowed for more human-readable instructions, making software development easier and more portable across different computer architectures.",True,answer,5,"Software (SW) consists of computer programs that instruct the execution of a computer. Software also includes design documents and specifications. The history of software is closely tied to the development of digital computers in the mid-20th century. Early programs were written in the machine language specific to the hardware. The introduction of high-level programming languages in 1958 allowed for more human-readable

---

The concept of potential energy applied to small test particles led to the concept of a scalar field, a mathematical model representing the forces throughout space. While this mathematical model is not a mechanical medium, the mental picture of such a field resembles a medium.

---

instructions, making software development easier and

---

The major fields of physics, along with their subfields and the theories and concepts they employ, are shown in the following table.

---

more portable across different computer architectures. Software in a programming language is run through a compiler or interpreter to execute on the architecture's hardware. Over time, software has become complex, owing to developments in networking, operating systems, and databases. Software can generally be categorized into two main types:",science_technology,Software,5309_1360134349_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000044__chunk_boundary__high,seed_000044,chunk_boundary,high,chunk_boundary,chunking,0.75,What is the basis of the Linked Data Modeling Language?,YAML,"The Linked Data Modeling Language, or LinkML, is a data modeling framework based on YAML",True,answer,5,"The Linked Data Modeling Language, or LinkML,

---

MinutePhysics has collaborated with Vsauce, as well as the director of the Perimeter Institute for Theoretical Physics, Neil Turok, and Destin Sandlin (Smarter Every Day). MinutePhysics also has made two videos that were narrated by Neil deGrasse Tyson and one video narrated by Tom Scott. The channel also collaborated with physicist Sean M. Carroll in a five-part video series on time and entropy and with Grant Sanderson on a video about a lost lecture of physicist Richard Feynman, as well as a video about Bell's Theorem. In 2015, Reich collaborated with Randall Munroe on a video titled ""How To Go To Space"", which was animated similarly to the style found in Munroe's webcomic xkcd.
Google tapped Reich for their 2017 ""Be Internet Awesome"" campaign, a video series aimed at creating a safer Internet space for children.

---

is a data modeling

---

In recent times, MUIbase was a mainly cross-platform MySQL database language that became a reference on Amiga. SQLite, a self-contained, embeddable, zero-configuration SQL database engine, runs on AmigaOS 4 and MorphOS. In February 2010, Italian programmer Andrea Palmatè ported IODBC standard to AmigaOS 4.

---

framework based on YAML It can be used to specify data schemas that can be used for validating data via formats like JSON-LD and ShEx.",science_technology,LinkML,81180325_1354102423_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
seed_000049__chunk_boundary__high,seed_000049,chunk_boundary,high,chunk_boundary,chunking,0.75,When was the Note Processor released?,1987,The Note Processor is a scorewriter program written by Stephen Dydo and released in 1987 for the IBM PC.,True,answer,5,"The Note Processor is a scorewriter program written by

---

Grishman worked in Information Extraction, and was one of the original designers of and contributors to the MUC competitions (MUCs). His ‘‘Proteus’’ system achieved high performance among the more than 20 international participants — from academia and the industry — at the Sixth MUC (MUC-6), specifically, taking first place in the ‘‘Scenario Template’’ task, which was the most complex task evaluated at MUC-6.

---

Stephen Dydo and released in

---

Application software can be seen as either horizontal or vertical. Horizontal applications are more popular and widespread, because they are general purpose, for example word processors or databases. Vertical applications are niche products, designed for a particular type of industry or business, or department within an organization. Integrated suites of software will try to handle every specific aspect possible of, for example, manufacturing or banking worker, accounting, or customer service.

---

1987 for the IBM PC. Intended to provide publishing-quality music engraving, it was unique among commercial scorewriters in that it accepted as input files encoded in DARMS notation. It also took input from MIDI files, and files could be created and edited within the program using the keyboard and mouse.",science_technology,The Note Processor (software),82959304_1359714773_0_0,True,False,yes,yes,unclear,ok,evidence legitimately spans/gets cut across chunks at a clean word boundary
