eval_id,sample_id,model_name,condition,severity,exact_match,token_f1,semantic_similarity,llm_judge_correct,abstained,hallucinated,prediction,gold_answer
eval_nova-pro_000000,seed_000000,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Brown University,Brown University
eval_nova-pro_000001,seed_000001,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"July 30, 1938","July 30, 1938"
eval_nova-pro_000002,seed_000002,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Pyongyang,Pyongyang
eval_nova-pro_000003,seed_000003,nova-pro,clean,,0.0,0.8571428571428571,0.8125,True,False,False,Since 28 April 1994.,28 April 1994
eval_nova-pro_000004,seed_000004,nova-pro,clean,,1.0,1.0,1.0,False,False,False,Computational gastronomy,Computational gastronomy
eval_nova-pro_000005,seed_000005,nova-pro,clean,,1.0,1.0,1.0,False,False,False,(1 – (down time/ total time))*100%,(1 – (down time/ total time))*100%
eval_nova-pro_000006,seed_000006,nova-pro,clean,,0.0,0.6666666666666666,0.5714285714285714,True,False,False,14.29 miles,14.29
eval_nova-pro_000007,seed_000007,nova-pro,clean,,1.0,1.0,1.0,True,False,False,1983,1983
eval_nova-pro_000008,seed_000008,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"Los Angeles, California","Los Angeles, California"
eval_nova-pro_000009,seed_000009,nova-pro,clean,,1.0,1.0,1.0,True,False,False,100,100
eval_nova-pro_000010,seed_000000__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.0,0.14814814814814814,,True,False,I don't know.,Brown University
eval_nova-pro_000011,seed_000000__missing_evidence__medium,nova-pro,missing_evidence,medium,0.0,0.0,0.14814814814814814,,True,False,I don't know.,Brown University
eval_nova-pro_000012,seed_000000__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.0,,True,False,,Brown University
eval_nova-pro_000013,seed_000001__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.0,0.17391304347826086,,True,False,I don't know.,"July 30, 1938"
eval_nova-pro_000014,seed_000001__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.17391304347826086,,True,False,I don't know.,"July 30, 1938"
eval_nova-pro_000015,seed_000002__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.0,0.3,,True,False,I don't know.,Pyongyang
eval_nova-pro_000016,seed_000002__missing_evidence__medium,nova-pro,missing_evidence,medium,0.0,0.0,0.3,,True,False,I don't know.,Pyongyang
eval_nova-pro_000017,seed_000002__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.3,,True,False,I don't know.,Pyongyang
eval_nova-pro_000018,seed_000003__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.0,0.16666666666666666,,True,False,I don't know.,28 April 1994
eval_nova-pro_000019,seed_000003__missing_evidence__medium,nova-pro,missing_evidence,medium,0.0,0.0,0.16666666666666666,,True,False,I don't know.,28 April 1994
eval_nova-pro_000020,seed_000003__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.16666666666666666,,True,False,I don't know.,28 April 1994
eval_nova-pro_000021,seed_000004__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.08,0.22580645161290322,False,False,True,"The field that combines computational science with culinary studies is the one described in the context, which applies data-driven techniques to analyze various aspects of food.",Computational gastronomy
eval_nova-pro_000022,seed_000004__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.34285714285714286,,True,False,I don't know.,Computational gastronomy
eval_nova-pro_000023,seed_000005__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.11764705882352942,0.2857142857142857,False,False,True,High availability is a high percentage of time that the system is functioning.,(1 – (down time/ total time))*100%
eval_nova-pro_000024,seed_000005__missing_evidence__medium,nova-pro,missing_evidence,medium,0.0,0.0,0.3684210526315789,,True,False,I don't know.,(1 – (down time/ total time))*100%
eval_nova-pro_000025,seed_000005__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.3684210526315789,,True,False,I don't know.,(1 – (down time/ total time))*100%
eval_nova-pro_000026,seed_000008__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.0,0.3333333333333333,False,False,True,Silicon Valley,"Los Angeles, California"
eval_nova-pro_000027,seed_000008__missing_evidence__medium,nova-pro,missing_evidence,medium,0.0,0.0,0.18181818181818182,,True,False,I don't know.,"Los Angeles, California"
eval_nova-pro_000028,seed_000008__missing_evidence__high,nova-pro,missing_evidence,high,0.0,0.0,0.18181818181818182,,True,False,I don't know.,"Los Angeles, California"
eval_nova-pro_000029,seed_000009__missing_evidence__low,nova-pro,missing_evidence,low,0.0,0.0,0.0,,True,False,I don't know.,100
eval_nova-pro_000030,seed_000009__missing_evidence__medium,nova-pro,missing_evidence,medium,0.0,0.0,0.0,,True,False,I don't know.,100
