sample_id,question,gold_answer,supporting_sentence,answer_type,difficulty,category_group,page_title,section_title,chunk_id,quality_score,n_clean_contexts,decision,question_clear,answer_in_evidence,answer_unique,needs_title,time_sensitive_ok,notes
seed_000000,When did Lewis Rasmus Heim die?,29 March 1964,"""Lewis Rasmus Heim (19 September 1874 – 29 March 1964) was an American machinist and businessman who was the inventor of the Centerless Cylindrical Grinder, the Heim Joint Rod End Bearing and a pioneer of modern spherical, ball and roller bearings.""",date,easy,person,Lewis Heim,Lead,61144894_1358699869_0_0,1.0,8,fix,yes,yes,no,no,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000001,When did Tandyn Douglas Almer die?,"January 8, 2013","Tandyn Douglas Almer (July 30, 1942 – January 8, 2013) was an American songwriter, musician, and record producer who wrote the 1966 song ""Along Comes Mary"" for the Association.",date,easy,person,Tandyn Almer,Lead,5145407_1361837690_0_0,1.0,8,fix,yes,yes,no,no,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000002,Where was Bekele born?,Addis Ababa,"Bekele was born in Addis Ababa, Ethiopia, and emigrated to the United States with his family at the age of four.",location,easy,person,Heman Bekele,Early life and education,78591929_1362673621_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000003,When did Danielle Susan Allen announce she was exploring a run for Governor of Massachusetts?,December 2020,She announced in December 2020 that she was exploring a run for Governor of Massachusetts in 2022.,date,easy,person,Danielle Allen,Lead,26993261_1364056821_0_0,1.0,8,fix,yes,yes,no,no,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000004,When was Michael Bell born?,"July 30, 1938","Michael Bell (born July 30, 1938) is an American actor who is most active in voice over roles.",date,easy,person,Michael Bell (actor),Lead,3001540_1365990231_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000005,When did Karl Ferdinand Braun receive his Ph.D.?,1872,"In 1872, he received his Ph.D. with a thesis on vibrating strings, and subsequently followed Quincke to the University of Würzburg as an assistant.",date,easy,person,K. Ferdinand Braun,Education and career,17297_1365388713_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000006,When was Alain Jean Aspect born?,15 June 1947,Alain Jean Aspect (French: [aspɛ] ; born 15 June 1947) is a French physicist noted for his experimental work on quantum entanglement.,date,easy,person,Alain Aspect,Lead,1307592_1362052068_0_0,1.0,8,keep,yes,yes,yes,no,yes,auto-review: looks good
seed_000007,When was John Francis Clauser born?,"December 1, 1942","John Francis Clauser (; born December 1, 1942) is an American theoretical and experimental physicist known for contributions to the foundations of quantum mechanics, in particular the Clauser–Horne–Shimony–Holt inequality.",date,easy,person,John Clauser,Lead,27567717_1351364826_0_0,1.0,8,fix,yes,yes,yes,no,no,phrasing may go stale over time (relative/superlative language)
seed_000008,When was Sir Andre Konstantin Geim born?,21 October 1958,Sir Andre Konstantin Geim (Russian: Андре́й Константи́нович Гейм; born 21 October 1958) is a Russian-born British physicist working in England in the School of Physics and Astronomy at the University of Manchester.,date,easy,person,Andre Geim,Lead,17054160_1365992409_0_0,1.0,8,keep,yes,yes,yes,no,yes,auto-review: looks good
seed_000009,When did Leon N. Cooper pass away?,"October 23, 2024","Leon N. Cooper (né Kupchik; February 28, 1930 – October 23, 2024) was an American theoretical physicist and neuroscientist who shared the 1972 Nobel Prize in Physics for his work on superconductivity.",date,easy,person,Leon Cooper,Lead,396611_1364500771_0_0,1.0,8,fix,yes,yes,no,no,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000010,Where was Joshua Lionel Cohen born?,"Queens, New York City","Joshua Lionel Cohen was born in Queens, New York City on August 25, 1877 to Hyman Nathan Cohen and his wife Rebecca (née Kantrowitz) Cohen; he had eight siblings.",location,easy,person,Joshua Lionel Cowen,Early life,399047_1343193859_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000011,When was Stephen Louis 'Steve' Brusatte born?,"April 24, 1984","Stephen Louis ""Steve"" Brusatte FRSE (born April 24, 1984) is an American evolutionary biologist and science popularizer who specializes in the anatomy and evolution of dinosaurs.",date,easy,person,Stephen L. Brusatte,Lead,7124671_1364335584_0_0,1.0,8,keep,yes,yes,yes,no,yes,auto-review: looks good
seed_000012,When was Victor Robert Basili born?,13 April 1940,"Victor Robert Basili (born 13 April 1940), is an emeritus professor at the Department of Computer Science,",date,easy,person,Victor Basili,Lead,20185237_1354277764_0_0,1.0,8,keep,yes,yes,yes,no,yes,auto-review: looks good
seed_000013,Where did Gell-Mann graduate from with a bachelor's degree in physics in 1948?,Yale,Gell-Mann graduated from Yale with a bachelor's degree in physics in 1948 and intended to pursue graduate studies in physics.,organization,easy,person,Murray Gell-Mann,Life and education,20476_1362235164_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000014,What is Alice Jane Brush's last name before marriage?,Bernheim,"Alice Jane Brush (née Bernheim) is an American computer scientist known for her research in human–computer interaction, ubiquitous computing and computer supported collaborative work (CSCW).",other,easy,person,A. J. Brush,Lead,43186073_1327185917_0_0,1.0,8,fix,yes,yes,yes,yes,no,phrasing may go stale over time (relative/superlative language)
seed_000015,Where did Blum receive his bachelor's and master's degrees in electrical engineering?,MIT,"Blum was educated at MIT, where he received his bachelor's degree and his master's degree in electrical engineering in 1959 and 1961 respectively.",organization,easy,person,Manuel Blum,Education,308357_1350529586_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000016,When did Willard Sterling Boyle pass away?,"May 7, 2011","Willard Sterling Boyle (August 19, 1924 – May 7, 2011) was a Canadian applied physicist who shared one half of the 2009 Nobel Prize in Physics with George E. Smith for their invention of the charge-coupled device.",date,easy,person,Willard Boyle,Lead,3626302_1359012569_0_0,1.0,8,fix,yes,yes,no,no,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000017,In what year was David Hall born?,1951,"David Hall (born 1951) is an American billionaire businessman, engineer, and inventor.",numeric,easy,person,David Hall (American businessman),Lead,79319008_1350891069_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000018,When did Peter Ware Higgs pass away?,8 April 2024,"Peter Ware Higgs (29 May 1929 – 8 April 2024) was a British theoretical physicist, professor at the University of Edinburgh, and Nobel laureate in Physics for his work on the mass of subatomic particles.",date,easy,person,Peter Higgs,Lead,339050_1352972360_0_0,1.0,8,fix,yes,yes,no,no,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000019,Where did Alfvén teach physics in 1934?,University of Uppsala and the Nobel Institute for Physics (later renamed the Manne Siegbahn Institute of Physics),"In 1934, Alfvén taught physics at both the University of Uppsala and the Nobel Institute for Physics (later renamed the Manne Siegbahn Institute of Physics) in Stockholm, Sweden.",other,easy,person,Hannes Alfvén,Early years,165123_1361409225_2_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000020,Who is the peak named after?,Charles Lyell,"The peak as well as nearby Lyell Canyon is named after Charles Lyell, a well-known 19th century geologist.",person,easy,location,Mount Lyell (California),Lead,2177175_1356120607_0_0,1.0,8,fix,yes,yes,yes,yes,no,phrasing may go stale over time (relative/superlative language)
seed_000021,Which U.S. president had land near Mount Cleveland purchased from the Blackfoot Confederacy in 1895?,President Grover Cleveland,The east side of the future national park was purchased by the federal government from the Blackfoot Confederacy in 1895 during the second term of President Grover Cleveland.,person,easy,location,Mount Cleveland (Montana),Lead,2465760_1355820527_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000022,Which country is mentioned as having no special administrative subdivision for its capital?,Canada,"Unusually, Canada is the only federation in the world not to accord a special administrative subdivision to its capital;",organization,easy,location,Capital districts and territories,Lead,1604190_1352759269_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000023,What is the name of the port of the Sunda Kingdom?,Sunda Kelapa,"The area that is now Jakarta has been inhabited since at least the early centuries of the Common Era and was long associated with Sunda Kelapa, the port of the Sunda Kingdom.",other,easy,location,Jakarta,Lead,16275_1365977073_0_0,1.0,8,fix,yes,yes,yes,yes,no,phrasing may go stale over time (relative/superlative language)
seed_000024,What act established the historic counties in English law?,Laws in Wales Act,"The 1535 Laws in Wales Act established the historic counties in English law, but in Wales they were later replaced with eight preserved counties for ceremonial purposes and the twenty two principal areas are used for administrative purposes.",other,easy,location,County town,Wales,7407_1358214660_2_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000025,Which city is the capital of Nigeria located in?,Abuja,"Abuja, the capital city of Nigeria, is located in this territory.",location,easy,location,Federal Capital Territory (Nigeria),Lead,1324670_1362330901_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000026,When did the Empire of Ghana become the first kingdom to dominate the area?,11th century,"By the 11th century, the Empire of Ghana became the first kingdom to dominate the area, later succeeded by the Mali Empire.",date,easy,location,Bamako,History,56606_1360404380_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000027,Which island does the national park encompass the beach and coral reef at the Toʻaga site on?,Ofu,"The national park encompasses the ridgeline and steep northern slopes of Tutuila, the beach and coral reef at the Toʻaga site on Ofu’s southeast coast, and nearly two-thirds of Taʻū Island.",location,easy,location,National Park of American Samoa,Lead,758636_1365935951_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000028,In which year did the executive and judicial branches of the Malaysian federal government move to Putrajaya?,1999,The city remained the seat of the executive and judicial branches of the Malaysian federal government until these were relocated to Putrajaya in early 1999.,date,easy,location,Kuala Lumpur,Lead,16854_1365784851_0_1,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000029,Where did 31 Holy Roman Emperors get crowned Kings of the Germans until 1531?,Aachen,"The medieval German Holy Roman Empire used to have Aachen as its preferred seat of government during Charlemagne's reign, and until 1531 it was the place where 31 Holy Roman Emperors were crowned Kings of the Germans.",location,easy,location,Capital of Germany,Pre-1871,169339_1350018545_1_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000030,When was Glacier National Park established?,"May 11, 1910","Under pressure, the Blackfeet ceded the mountainous parts of their treaty lands in 1895 to the federal government which became part of the park. Soon after the establishment of the park on May 11, 1910, a number of hotels and chalets were constructed by the Great Northern Railway.",date,easy,location,Glacier National Park (U.S.),Lead,226211_1365921562_0_0,1.0,8,fix,yes,yes,no,yes,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000031,What year did Redoubt Volcano erupt last?,2009,"Mount Redoubt has erupted four times since it was first observed: in 1902, 1966, 1989 and 2009, with two questionable eruptions in 1881 and 1933.",date,easy,location,Mount Redoubt,Lead,983600_1361118936_0_0,1.0,8,fix,yes,yes,no,yes,yes,multiple candidate values of the same type appear in the sentence - check uniqueness
seed_000032,What was the original capital territory of Pakistan called?,Federal Capital Territory,The Federal Capital Territory (FCT) around Karachi was the original capital territory of Pakistan.,other,easy,location,Federal Capital Territory (Pakistan),Lead,3913074_1358990902_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000033,How many officials still work in Bonn out of the total federal bureaucracy officials?,"8,000","Although Berlin is officially the capital of Germany, 8,000 out of the 18,000 total officials employed at the federal bureaucracy still work in Bonn, about 600 km (370 mi) away from Berlin.",numeric,easy,location,Capital of Germany,Lead,169339_1350018545_0_0,1.0,8,fix,yes,yes,yes,yes,no,phrasing may go stale over time (relative/superlative language)
seed_000034,What is the largest lake in Grand Teton National Park?,Jackson Lake,"The largest of these is Jackson Lake, a natural glacial lake that has been enlarged with the construction of the Jackson Lake Dam.",organization,easy,location,Lakes of Grand Teton National Park,Lead,71673455_1363529721_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
seed_000035,What is the name of the largest active volcano by both mass and volume?,Mauna Loa,Mauna Loa is Earth's largest active volcano by both mass and volume.,other,easy,location,Mauna Loa,Lead,158835_1364956722_0_0,1.0,8,keep,yes,yes,yes,yes,yes,auto-review: looks good
