failure_id,parent_seed_id,failure_type,severity,operator,stage,difficulty,question,gold_answer,supporting_sentence,answer_available,expected_behavior,num_contexts,contexts,category_group,page_title,chunk_id,injection_valid_auto,gold_answer_leaked_auto,human_injection_valid,human_label_correct,severity_ok,issue_code,notes
seed_000008__chunk_boundary__high,seed_000008,chunk_boundary,high,chunk_boundary,chunking,0.75,In what year was Ted Ellis born?,1963,Ted Ellis (born 1963) is an American artist and former environmental chemist.,True,answer,5,"Ted Ellis (born 1963) is an

---

With Eddington's eclipse observations widely reported not just in academic journals but by the popular press as well, Einstein became ""perhaps the world's first celebrity scientist"", a genius who had shattered a paradigm that had been basic to physicists' understanding of the universe since the seventeenth century. Einstein began his new life as an intellectual icon in America, where he arrived on 2 April 1921. He was welcomed to New York City by Mayor John Francis Hylan, and then spent three weeks giving lectures and attending receptions. He spoke several times at Columbia University and Princeton, and in Washington, he visited the White House with representatives of the National Academy of Sciences. He returned to Europe via London, where he was the guest of the philosopher and statesman Viscount Haldane. He used his time in the British capital to meet several people prominent in British scientific, political or intellectual life, and to deliver a lecture at King's College. In July 1921, he published an essay, ""My First Impression of the U.S.A."", in which he sought to sketch the American character. He wrote of his transatlantic hosts in highly approving terms: ""What strikes a visitor is the joyous, positive attitude to life ... The American is friendly, self-confident, optimistic, and without envy."" In 1922, Einstein's travels were to the old world rather than the new.

---

American artist and

---

Philip Warren Anderson was born on December 13, 1923, in Indianapolis, Indiana, and grew up in Urbana, Illinois. His father, Harry Warren Anderson, was a professor of plant pathology at the University of Illinois at Urbana–Champaign; his maternal grandfather was a mathematician at Wabash College, where Anderson's father studied; and his maternal uncle was a Rhodes Scholar who became a professor of English, also at Wabash College.
Anderson graduated from University Laboratory High School in Urbana in 1940. Under the encouragement of a math teacher by the name of Miles Hartley, he enrolled at Harvard University to study under a fully-funded scholarship. He concentrated in ""Electronic Physics"" and received his B.S. in 1943, after which he was drafted into the war effort and built antennas in the Naval Research Laboratory until the end of the Second World War in 1945. As an undergraduate, his close associates included particle-nuclear physicist H. Pierre Noyes, philosopher and historian of science Thomas Kuhn, and molecular physicist Henry Silsbee.
After the war, Anderson returned to Harvard to pursue graduate studies in physics, obtaining an M.A. in 1947 and a Ph.D. in 1949. His doctoral thesis, written under John Van Vleck, was titled The Theory of Pressure Broadening of Spectral Lines in the Microwave and Infrared Regions.

---

former environmental chemist. Ellis is best known for his African-American themed art and styles which blend elements of folk art, naturalism and impressionism. His personal rendition of Barack Obama in acrylic, Obama, the 44th President, was presented in honor of the 2009 Presidential Inauguration. Ellis' art business has sold over 1.75 million fine art products, and he works with a number of prominent corporations. He is also known for his community work, especially advancing arts in children's education.",person,Ted Ellis (artist),35988430_1366153653_0_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""an"" — check if one chunk is sufficient context"
seed_000015__chunk_boundary__high,seed_000015,chunk_boundary,high,chunk_boundary,chunking,0.75,When was Brian Paul Schmidt born?,24 February 1967,Brian Paul Schmidt (born 24 February 1967) is an American Australian astrophysicist at the Australian National University's Mount Stromlo Observatory and Research School of Astronomy and Astrophysics.,True,answer,5,"Brian Paul Schmidt (born 24 February 1967) is an American Australian astrophysicist at

---

In December 1870, Davis was asked by a customer to make a pair of strong working pants for her husband who was a woodcutter. To create suitably robust pants for working, he used duck cloth and reinforced the weak points in the seams and pockets with the copper rivets. Such was the success of these pants that word spread throughout the labourers along the railroad. Davis was making these working pants in duck cotton and, as early as 1871, in denim cotton. Before long, he found he could not keep up with demand. Davis had previously applied for patents for other inventions. Realizing the potential value in his reinforced jeans concept, in 1872, he approached Levi Strauss, who was still his supplier of fabric, and asked for his financial backing in the filing of a patent application. Strauss agreed, and on May 20, 1873, US Patent No. 139,121 for ""Improvements in fastening pocket openings"" was issued in the name of Jacob W. Davis and Levi Strauss and Company. That same year, Davis started sewing a double orange threaded stitched design onto the back pocket of the jeans to distinguish them from those made by his competitors. This trademark feature became Registered U.S. Trade Mark No. 1,139,254.

---

the Australian National University's Mount Stromlo Observatory

---

In 1917, Einstein applied the general theory of relativity to the structure of the universe as a whole. He discovered that the general field equations predicted a universe that was dynamic, either contracting or expanding. As observational evidence for a dynamic universe was lacking at the time, Einstein introduced a new term, the cosmological constant, into the field equations, in order to allow the theory to predict a static universe. The modified field equations predicted a static universe of closed curvature, in accordance with Einstein's understanding of Mach's principle in these years. This model became known as the Einstein World or Einstein's static universe. This paper is widely regarded as marking the emergence of modern theoretical cosmology. Following the discovery of the recession of the galaxies by Edwin Hubble in 1929, Einstein abandoned his static model of the universe, and proposed two dynamic models of the cosmos, the Friedmann–Einstein universe of 1931 and the Einstein–de Sitter universe of 1932. In each of these models, Einstein discarded the cosmological constant, claiming that it was ""in any case theoretically unsatisfactory"". In many Einstein biographies, it is claimed that Einstein referred to the cosmological constant in later years as his ""biggest blunder"", based on a letter George Gamow claimed to have received from him. The astrophysicist Mario Livio has cast doubt on this claim.

---

and Research School of Astronomy and Astrophysics. He was the Vice-Chancellor of the Australian National University (ANU) from January 2016 to January 2024. He is known for his research in using supernovae as cosmological probes. He previously held a Federation Fellowship and a Laureate Fellowship from the Australian Research Council, and was elected a Fellow of the Royal Society (FRS) in 2012. Schmidt shared both the 2006 Shaw Prize in Astronomy and the 2011 Nobel Prize in Physics with Saul Perlmutter and Adam Riess for providing evidence that the expansion of the universe is accelerating.",person,Brian Schmidt,6231333_1347499262_0_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""at"" — check if one chunk is sufficient context"
seed_000032__chunk_boundary__high,seed_000032,chunk_boundary,high,chunk_boundary,chunking,0.75,In what year did Pliny Earle agree to make the cards for Samuel Slater's machines after unsuccessful applications to several other persons?,1790,"After unsuccessful applications to several other persons, he went, in 1790, to Earle, who, although it was a new and untried work, agreed to make the cards.",True,answer,5,"Pliny Earle I was born in 1762 in Leicester, Massachusetts, the son of Sarah and Robert Earle. In 1785, he teamed with Edmund Snow in the manufacture of carding machines for cotton and wool. Among the many obstacles encountered by Samuel Slater in the introduction into the United States of the manufacture of cotton by machinery was the difficulty of procuring card clothing for his machines. After unsuccessful applications to several other persons, he went, in 1790, to Earle,

---

In 1969, Binnig married Lore Wagler, a psychologist, and they have a daughter born in Switzerland and a son born in California. His hobbies include reading, swimming, and golf.

---

who, although it was a new and

---

Locker-Lampson took Einstein to meet Winston Churchill at his home, and later, Austen Chamberlain and former Prime Minister Lloyd George. Einstein asked them to help bring Jewish scientists out of Germany. British historian Martin Gilbert notes that Churchill responded immediately, and sent his friend physicist Frederick Lindemann to Germany to seek out Jewish scientists and place them in British universities. Churchill later observed that as a result of Germany having driven the Jews out, they had lowered their ""technical standards"" and put the Allies' technology ahead of theirs.
Einstein later contacted leaders of other nations, including Turkey's Prime Minister, İsmet İnönü, to whom he wrote in September 1933, requesting placement of unemployed German-Jewish scientists. As a result of Einstein's letter, Jewish invitees to Turkey eventually totaled over ""1,000 saved individuals"".
Locker-Lampson also submitted a bill to parliament to extend British citizenship to Einstein, during which period Einstein made a number of public appearances describing the crisis brewing in Europe. In one of his speeches he denounced Germany's treatment of Jews, while at the same time he introduced a bill promoting Jewish citizenship in Palestine, as they were being denied citizenship elsewhere. In his speech he described Einstein as a ""citizen of the world"" who should be offered a temporary shelter in the UK. Both bills failed, however, and Einstein then accepted an earlier offer from the Institute for Advanced Study, in Princeton, New Jersey, US, to become a resident scholar.

---

untried work, agreed to make the cards. He succeeded, but to achieve that success he was obliged to prick the holes for the teeth with two needles fastened in the handle. This led him to the invention of the machine for pricking ""twilled"" cards, by which the labor of a man for fifteen hours could be performed in as many minutes. This machine was in general use for years, until the machine that both pricks the leather and sets the teeth superseded it. He was a member of the Society of Friends, and, apart from his inventive genius, made extensive attainments in science and literature. Earle subsequently took little part in political affairs.",person,Pliny Earle I,2901396_1357341171_1_0,True,False,yes,yes,unclear,ok,[auto-review] chunk ends at a sentence boundary
seed_000041__chunk_boundary__high,seed_000041,chunk_boundary,high,chunk_boundary,chunking,0.75,Where is the Federal District located?,Center-West Region,"Located in the Center-West Region, it is the smallest Brazilian federal unit and the only one that has no municipalities, being divided into 35 administrative regions.",True,answer,5,"The Federal District (Portuguese: Distrito Federal [dʒisˈtɾitu fedeˈɾaw] ) is one of 27 federative units of Brazil. Located in the Center-West Region, it is the smallest Brazilian federal unit and

---

Port of Spain was founded by the Spanish as Puerto España. The first settlement was near the site of the Amerindian fishing village of Cumucurapo (""place of the silk cotton trees""), located in the area today known as Mucurapo, west of the city centre. The name Conquerabia is also recorded for an Amerindian settlement in this area; this may have been a separate village, another name for Cumucurapo, or the result of miscomprehension by early Spanish settlers, who established a port here: Puerto de los Españoles, later Puerto de España. In 1560, a Spanish garrison was posted near the foot of the Laventille Hills, which today form the city's eastern boundary. The part of today's downtown Port of Spain closest to the sea was once an area of tidal mudflats covered by mangroves. The first Spanish buildings here, in the 16th and 17th centuries, were open mud-plastered ajoupas, interspersed between large silk cotton trees and other trees. The fort was a mud-walled enclosure with a shack inside, a flagpole, two or three cannon, and few Spanish soldiers. This was captured during Walter Raleigh's expedition in April 1595. The Caribs were transient, travelling to the mainland (now Venezuela) and up the Orinoco River.

---

the only one that has no

---

Karlsruhe lies completely to the east of the Rhine, and almost completely on the Upper Rhine Plain. It contains the Turmberg in the east, and also lies on the borders of the Kraichgau leading to the Northern Black Forest. The Rhine river, one of the world's most important shipping routes, forms the western limits of the city, beyond which lie the towns of Maximiliansau and Wörth am Rhein in the German state of Rhineland-Palatinate. The city centre is about 7.5 km (4.7 mi) from the river, as measured from the Marktplatz (Market Square). Two tributaries of the Rhine, the Alb and the Pfinz, flow through the city from the Kraichgau to eventually join the Rhine. The city lies at an altitude of between 100 and 322 m (328 and 1,056 ft), the higher figure being near the communications tower in the suburb of Grünwettersbach. Its geographical coordinates are 49°00′N 8°24′E; the 49th parallel runs through the city centre, which puts it at the same latitude as much of the Canada–United States border and the cities of Vancouver (Canada), Paris (France), Regensburg (Germany), and Hulunbuir (China).

---

municipalities, being divided into 35 administrative regions. The federal capital of Brazil, Brasília, which is also the seat of government of the Federal District, is located in its territory. The Federal District shares a small border with Minas Gerais and is otherwise surrounded by the state of Goiás.",location,Federal District (Brazil),145964_1365616245_0_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""and"" — check if one chunk is sufficient context"
seed_000042__chunk_boundary__high,seed_000042,chunk_boundary,high,chunk_boundary,chunking,0.75,When was Sejong founded as a new planned capital of South Korea?,2007,"Sejong was founded in 2007 as the new planned capital of South Korea created mostly from parts of South Chungcheong Province and some parts of North Chungcheong Province in order to ease congestion in South Korea's current capital and largest city, Seoul, and to encourage investment in the country's central region.",True,answer,5,"Sejong or Sejong City (Korean: 세종; Korean: [seːdʑoŋ] ), officially Sejong Special Self-Governing City (세종특별자치시), is a special self-governing city and the de facto administrative capital of South Korea. Sejong was founded in 2007 as the new planned capital of South Korea created mostly from parts of South Chungcheong Province and some parts of

---

A capital needed to be decided on and, immediately after the signing of the Treaty of Waitangi on 6 February 1840, Hobson sought advice from those who had been living in New Zealand for some time. The missionary Henry Williams recommended the area around the Waitematā Harbour. William Cornwallis Symonds agreed with that assessment. A week after the signing of the treaty, seven Māori chiefs from Ōrākei on the Waitematā Harbour came to see Hobson and invited him to stay amongst them. They wanted protection from a rival iwi, the Ngāpuhi, and offered him land in return for living there. On 21 February, a small party including Hobson, Williams, Symonds, Captain Joseph Nias, and Felton Mathew left on the Herald to explore the Waitematā; they arrived there two days later. They visited various places, but on 1 March, Hobson suffered a stroke which paralysed half of his body and affected his speech. Rather than delegate the decision making to his officers, the party returned to the Bay of Islands with the task incomplete. Mathew, who was Surveyor General, was then instructed to report on possible locations for a capital in the Bay of Islands.

---

North Chungcheong Province in order to ease congestion in South Korea's current capital

---

Adelaide ( AD-il-ayd; Kaurna: Tarndanya [ˈd̪̥aɳɖaɲa]) is the capital and most populous city of South Australia, as well as the fifth-most populous city in Australia. The name ""Adelaide"" may refer to either Greater Adelaide (including the Adelaide Hills) or the Adelaide city centre; the demonym Adelaidean is used to denote the city and the residents of Adelaide. The traditional owners of the Adelaide region are the Kaurna, with the name Tarndanya referring to the area of the city centre and surrounding Park Lands, in the Kaurna language. Adelaide is situated on the Adelaide Plains north of the Fleurieu Peninsula, between the Gulf St Vincent in the west and the Mount Lofty Ranges in the east. Its metropolitan area encompasses over 430 suburbs, extending 96 km (60 mi) from Gawler in the north to Sellicks Beach in the south and 20 km (12 mi) from the western coast to the eastern foothills of the Mount Lofty Ranges. Named in honour of Adelaide of Saxe-Meiningen, wife of King William IV, the city was founded in 1836 as the planned capital for a freely settled British colony in Australia. Colonel William Light designed the city centre and chose its location close to the River Torrens.

---

and largest city, Seoul, and to encourage investment in the country's central region. Since 2012, the government of South Korea has relocated numerous ministries and agencies to Sejong, but many still reside in other cities, primarily in Seoul, where the National Assembly and many important government bodies remain. Sejong has a population of 351,007 as of 2020 and covers a geographic area of 465.23 km2 (179.63 sq mi), making it the least-populous and smallest first-level administrative division in South Korea. Sejong is located in the west-central Hoseo region, bordering South Chungcheong to the west, Daejeon to the south, and North Chungcheong to the east. The construction of the city is expected to be completed in 2030, at which time 500,000 people are expected to live there.",location,Sejong City,12178672_1366302157_0_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""of"" — check if one chunk is sufficient context"
seed_000044__chunk_boundary__high,seed_000044,chunk_boundary,high,chunk_boundary,chunking,0.75,Which country is mentioned as having no special administrative subdivision for its capital?,Canada,"Unusually, Canada is the only federation in the world not to accord a special administrative subdivision to its capital;",True,answer,5,"A capital district, capital region, or capital territory is normally a specially designated administrative division where a country's seat of government is located. As such, in a federal model of government, no state or territory has any political or economic advantage relative to the others because of the national capital lying within its borders. A capital territory can be a specific form of federal district. A distinction should be made between administrative divisions which include national capitals, but have no special designated status legally (for example, Île de France has no distinct quality from other regions of France). Some federal countries (like Belgium and Germany), give their national capitals the status of full, equal federal units. A few federal countries have their national capitals located in the capital city of a constituent state: Sarajevo, the capital of Bosnia and Herzegovina, is also the capital of the Federation of Bosnia and Herzegovina, one of federal units and de jure capital of Republika Srpska, the other federal unit; further, Bern, the capital of Switzerland, is the capital of the Canton of Bern. Unusually, Canada is the only federation in the world

---

Upon the First Silesian War, in 1742, it was annexed by the Kingdom of Prussia according to the Treaty of Breslau. Incorporated into the Prussian Province of Silesia, it became part of the German Empire in 1871. Despite Germanisation policies, the town has retained its Polish character and its population was predominantly Catholic. In the Catholic church, Polish sermons took place weekly, German ones every month. Small Protestant and Jewish minorities also lived in the town. According to the German census of 1890, Guttentag town had a population of 2,426, of which 1,350 (56%) were Poles. The town suffered a fire in 1846. After World War I, in the Upper Silesia plebiscite held in March 1921, 79.5% of the citizens of the town came out in favour of a continuance in Germany, and while most parts of the Lubliniec district were reintegrated with the re-established Polish Republic, Dobrodzień, as Guttentag, remained on the German side, within the Prussian Province of Upper Silesia and ended up very close to the new German–Polish border. In May 1921 it was still captured by Polish insurgents during the Third Silesian Uprising, however it remained part of Germany after 1922.

---

not to accord a special

---

There are several assumptions why the capital was moved. Naypyidaw is more centrally located than the old capital, Yangon. It is also a transportation hub located adjacent to the Shan, Kayah, and Kayin states. It was felt by governmental and military leaders that a stronger military and governmental presence nearby might provide stability to those chronically turbulent regions. The military's purpose appears to have been to build an impregnable citadel, able to withstand foreign invasion or popular uprisings. The official explanation for moving the capital was that Yangon had become too congested and crowded with little room for future expansion of government offices. Historian Michael Aung-Thwin posits that the relocation to central Myanmar represented a historic return to the Dry Zone, where previous Burmese royal capitals had traditionally been established over a millennium. The nearby town of Pyinmana is a long-standing settlement and had been a pre-colonial governership that dates to the Pagan kingdom era.

---

administrative subdivision to its capital;",location,Capital districts and territories,1604190_1352759269_0_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after ""world"" — verify not mid-word and whether single chunk suffices"
seed_000049__chunk_boundary__high,seed_000049,chunk_boundary,high,chunk_boundary,chunking,0.75,Since when has Bonn been the secondary official residence of the president of Germany and the chancellor of Germany?,28 April 1994,"Since 28 April 1994, it is the secondary official residence of the president of Germany, the chancellor of Germany, the Bundesrat (upper house), the primary official residence of six federal ministries, and approximately 20 federal authorities.",True,answer,5,"In Germany, the former West German capital Bonn has been designated with the title of federal city (Bundesstadt), making it unique in Germany. Since 28 April 1994, it is the secondary official residence of the president of Germany, the chancellor of

---

Jelenia Góra is twinned with:

---

Germany, the Bundesrat (upper house), the primary official residence

---

During the Soviet era, many historic architectural monuments of the previous centuries were destroyed by the new regime for ideological reasons. While that mainly concerned churches and cathedrals, some other buildings were also demolished.
On 1 December 1934, Sergei Kirov, the Bolshevik leader of Leningrad, was assassinated under suspicious circumstances, which became the pretext for the Great Purge. In Leningrad, approximately 40,000 were executed during Stalin's purges.

---

of six federal ministries, and approximately 20 federal authorities. This is merely a title, since Bonn is not an autonomous city like Berlin, Bremen or Hamburg, but part of a state (North Rhine-Westphalia).",location,Federal city,5894792_1365818011_1_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""of"" — check if one chunk is sufficient context"
seed_000071__chunk_boundary__high,seed_000071,chunk_boundary,high,chunk_boundary,chunking,0.75,When were the executive and judicial branches of the Malaysian federal government relocated?,early 1999,The city remained the seat of the executive and judicial branches of the Malaysian federal government until these were relocated to Putrajaya in early 1999.,True,answer,5,"The city remained the seat of the executive and judicial branches of

---

Existing policy in Delhi prevents the conversion of wetlands and, quite inadvertently, has led to the city's ponds becoming invaluable refuge for birds. The National Capital Territory of Delhi covers an area of 1,483 km2 (573 sq mi), of which 783 km2 (302 sq mi) is designated rural, and 700 km2 (270 sq mi) urban therefore making it the largest city in terms of area in the country. It has a maximum length of 51.9 km (32 mi) and a greatest width of 48.48 km (30 mi). Delhi is included in India's seismic zone-IV, indicating its vulnerability to major earthquakes. The region is traversed by the Delhi–Haridwar Ridge and the Delhi–Moradabad fault systems, which contribute to its seismic hazard, with the potential for earthquakes reaching intensity VIII on the MSK scale.

---

the Malaysian federal government until these

---

Jakarta introduced private management of its piped-water system in 1998 under two 25-year concessions signed in 1997. The network was divided into western and eastern service areas run by Palyja and Thames PAM Jaya, later Aetra, while PAM Jaya retained ownership of the assets. The contracts were revised in 2001 after the Asian financial crisis, and a regulatory body was created to oversee them. When the concessions expired, PAM Jaya resumed full operation in 2023 following the handover of assets. An important part of Jakarta's raw water supply comes through the West Tarum Canal, which carries water from the Jatiluhur reservoir system on the Citarum River toward the capital. Piped-water coverage was about 82% in 2025, up from just over 60% in 2023. Plans for network expansion prioritise areas affected by groundwater abstraction, land subsidence, and groundwater-quality problems. Poor households often faced barriers to individual network connections, and many residents therefore rely on self-supplied groundwater or other non-networked sources. Heavy groundwater abstraction contributes to land subsidence, while salinity and contamination remain groundwater-quality concerns. In 2024, non-revenue water—the difference between water entering the network and the amount billed—was 46.2%.

---

were relocated to Putrajaya in early 1999. However, some sections of the political bodies still remain in Kuala Lumpur. The city is one of the three Federal Territories of Malaysia, enclaved within the state of Selangor, on the central west coast of Peninsular Malaysia. Since the 1990s, the city has played host to many international sporting, political and cultural events, including the 1998 Commonwealth Games, 2001 Southeast Asian Games, 2017 Southeast Asian Games, Formula One, Moto GP and 1997 FIFA World Youth Championships. Kuala Lumpur has undergone rapid development in recent decades and is home to the tallest twin buildings in the world, the Petronas Towers, which have since become an iconic symbol of Malaysian development. Kuala Lumpur is well connected with neighbouring urban metro regions such as Petaling Jaya via the rapidly expanding Klang Valley Integrated Transit System. Residents of the city can also travel to other parts of Peninsular Malaysia as well as to Kuala Lumpur International Airport (KLIA) via rail through Kuala Lumpur Sentral station. Kuala Lumpur was ranked the 6th most-visited city in the world on the Mastercard Destination Cities Index in 2019. The city houses three of the world's ten largest shopping malls.",location,Kuala Lumpur,16854_1365784851_0_1,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""of"" — check if one chunk is sufficient context"
seed_000106__chunk_boundary__high,seed_000106,chunk_boundary,high,chunk_boundary,chunking,0.75,When did Babbage leave England?,1827,Babbage left England when his wife and father died in 1827.,True,answer,5,"Babbage left England when his

---

The CRA Anita Borg Early Career Award, offered annually by the Computing Research Association's Committee on Widening Participation in Computing Research (CRA-WP), honors early-career researchers in North America for significant research contributions and efforts to increase participation of underrepresented groups in computing.
Award recipients include:

---

wife and father

---

Dahleh He was born in the city of Tulkarem, Palestine (then as part of the Hashemite Kingdom of Jordan) then raised in Amman, and moved to the United States when he was 17 years old to attend Texas A&M. He lived in Texas for seven years while earning his degrees in electrical engineering. Following graduation, in 1987 Dahleh joined MIT as an assistant professor, and achieved multiple teaching, research and leadership roles in academia, industry, and business sectors. He currently resides in Boston, MA with his wife and their three children.

---

died in 1827. On his return in 1828, now in possession of a considerable inheritance, he began to host Saturday evening parties. The science historian James A. Secord describes the parties as ""scientific soirées"". Secord writes that Babbage imported the idea from France, and once established, such soirées ""became one of the chief ways in which scientific discussion could take place on a more sustained basis within polite society."" In her autobiography, the English writer and sociologist Harriet Martineau wrote: ""All were eager to go to his glorious soirées and I always thought he appeared to great advantage as a host. His patience in explaining his machine in those days was really exemplary."" According to biographers Bruce Collier and James H. MacLachlan, ""Babbage was a bon vivant with a love of dining out and socialising. He sparkled as a host and raconteur. His Saturday soirées were glittering events attended by the social and intellectual elite of London.""",science_technology,Charles Babbage's Saturday night soirées,75954090_1313397696_1_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""his"" — check if one chunk is sufficient context"
seed_000123__chunk_boundary__high,seed_000123,chunk_boundary,high,chunk_boundary,chunking,0.75,When did Transnistria make a formal sovereignty declaration from Moldova?,2 September 1990,"The conflict may be considered to have started on 2 September 1990, when Transnistria made a formal sovereignty declaration from Moldova (then part of the Soviet Union).",True,answer,5,"The Transnistria conflict (Romanian: Conflictul din Transnistria; Russian: Приднестровский конфликт, romanized: Pridnestrovsky konflikt; Ukrainian: Придністровський конфлікт, romanized: Prydnistrovskyi konflikt) is an ongoing frozen conflict between Moldova and the unrecognized state of Transnistria. Its most active phase was the Transnistria War. There have been several unsuccessful attempts to resolve the conflict. The conflict may be considered to have started on 2 September 1990, when

---

Late on 28 October, half an hour after the Ilyushin had reportedly left Damascus, Tsiddon and Brosh departed Ramat-David in Meteor 52. They had taken off with a maximum fuel load and external fuel tanks, but soon discovered that fuel would not flow from the external tanks and jettisoned both. Heading west over the Mediterranean, Tsiddon was 200 kilometres (120 mi) south of Cyprus when the aircraft's radar picked up a target 3 miles (4.8 km) away at 10,500 feet (3,200 m). Tsiddon closed in on the aircraft, slowed and circled it, counting the windows and attempting to trace the shape of its tail in the pitch-dark night. Clearly identifying it as an Ilyushin Il-14, Tsiddon pulled alongside the aircraft to peer inside. Spotting men clad in military uniform, he was certain he had located the correct target. With the aircraft positively identified, IAF commander Dan Tolkovsky authorized Tsiddon over the radio to shoot it down. With a top speed of about 414 kilometres per hour (257 mph), however, the Ilyushin was flying barely faster than the Meteor's stall speed. Tsiddon slipped behind the Ilyushin and opened fire, but his cannons had been loaded with tracer rounds, whose glow temporarily blinded him from seeing the target.

---

Transnistria made a formal sovereignty declaration from

---

As originally envisioned, the purchase would have encompassed a much larger region, extending far enough south to include most of the current Mexican states of Baja California, Baja California Sur, Coahuila, Chihuahua, Sonora, Nuevo León, and Tamaulipas. The Mexican people opposed such boundaries, as did anti-slavery Americans, who saw the purchase as the acquisition of more slave territory. Even the sale of a relatively small strip of land angered the Mexican people, who saw Santa Anna's actions as a betrayal of their country. They watched in dismay as he squandered the funds generated by the Purchase. Contemporary Mexican historians continue to view the deal negatively and believe that it has defined the Mexico–United States relationship in a deleterious way. The purchased lands were initially appended to the existing New Mexico Territory. To help control the new land, the United States Army established Fort Buchanan on Sonoita Creek (three miles southwest of present-day Sonoita, Arizona) on November 17, 1856. The difficulty of governing the new areas from the territorial capital at Santa Fe led to efforts as early as 1856 to organize a new territory out of the southern portion. Many of the early settlers in the region were, however, pro-slavery and sympathetic to the South, resulting in an impasse in Congress as to how best to reorganize the territory.

---

Moldova (then part of the Soviet Union). Transnistria is internationally recognized as a part of Moldova. It has diplomatic recognition only from two Russian-backed separatist states: Abkhazia and South Ossetia.",historical_event,Transnistria conflict,4354805_1366728519_0_0,True,False,yes,yes,unclear,other,"[auto-review] chunk cuts off mid-sentence after function word ""when"" — check if one chunk is sufficient context"
